Signatur;Titel;Form und Inhalt;Entstehungszeitraum;Bemerkungen zur Datierung;Bemerkungen zum Umfang;Sprachen;ID
B-I-GOLDO-10;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie des Briefes vom 22.10.1928 aus M�nchen, maschinenschriftlich;22.10.1928;Daten fehlen;3 Bl./3 S.;Deutsch;127095
B-I-GOLDO-11;Thomas Mann an Rudolf K. Goldschmit-Jentner;"Kopie des Briefes vom 19.12.1928 aus M�nchen, maschinenschriftlich.
Zus�tzlich vermerkt: mit Editionsnotiz (aus anderer Hand)";19.12.1928;Daten fehlen;2 Bl./2 S.;Deutsch;81645
B-I-GOLDO-12;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie des Briefes vom 07.04.1929 aus M�nchen, maschinenschriftlich;07.04.1929;Daten fehlen;1 Bl./1 S.;Deutsch;130133
B-I-GOLDO-13;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie des Briefes vom 22.05.1929 aus M�nchen, maschinenschriftlich;22.05.1929;Daten fehlen;1 Bl./1 S.;Deutsch;76444
B-I-GOLDO-14;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie der Postkarte vom 11.06.1929 aus Bad Gastein, handschriftlich;11.06.1929;Daten fehlen;1 Bl./1 S.;Deutsch;82797
B-I-GOLDO-15;Thomas Mann an Rudolf K. Goldschmit-Jentner;"Kopie des Briefes vom 04.07.1929 aus M�nchen, maschinenschriftlich.
Zus�tzliche Beilage: weitere Kopie der ersten Briefseite zur besseren Lesbarkeit des unteren Teils";04.07.1929;Daten fehlen;2 Bl./2 S. + 1 Bl./1 S.;Deutsch;31746
B-I-GOLDO-16;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie des Briefes vom 20.09.1929 aus M�nchen, maschinenschriftlich;20.09.1929;Daten fehlen;1 Bl./1 S.;Deutsch;142439
B-I-GOLDO-17;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie des Briefes vom 02.11.1929 aus M�nchen, maschinenschriftlich;02.11.1929;Daten fehlen;1 Bl./1 S.;Deutsch;67692
B-I-GOLDO-18;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie des Briefes vom 02.12.1929 aus M�nchen, maschinenschriftlich;02.12.1929;Daten fehlen;1 Bl./1 S.;Deutsch;113548
B-I-GOLDO-19;Thomas Mann an Rudolf K. Goldschmit-Jentner;Durchschlag zum Brief vom 14.04.1949, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;14.04.1949;Daten fehlen;1 Bl./1 S.;Deutsch;47823
B-I-GOLDO-20;Thomas Mann an Rudolf K. Goldschmit-Jentner;Kopie des Briefes vom 18.06.1953 aus Erlenbach, maschinenschriftlich;18.06.1953;Daten fehlen;1 Bl./1 S.;Deutsch;62713
B-I-GOLDP-1;Sekretariat Thomas Mann an Paul J. Goldsmith;"Durchschlag zum Brief vom 05.07.1941 aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: vom Sekretariat geschrieben und unterzeichnet";05.07.1941;Daten fehlen;1 Bl./1 S.;Englisch;124989
B-I-GOLDQ-1;Sekretariat Thomas Mann an Sophie L. Goldsmith;"Durchschlag zum Brief vom 13.03.1939, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich.
Zus�tzlich vermerkt: von J. Meisel geschrieben und unterzeichnet";13.03.1939;Daten fehlen;1 Bl./1 S.;Deutsch;138084
B-I-GOLDR-1;Thomas Mann an Bruno Goldstein;Durchschlag zum Brief vom 07.02.1948, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;07.02.1948;Daten fehlen;1 Bl./1 S.;Deutsch;43109
B-I-GOLDS-1;Thomas Mann an Franz Goldstein;Kopie des Briefes vom 21.01.1928 aus M�nchen, maschinenschriftlich;21.01.1928;Daten fehlen;1 Bl./1 S.;Deutsch;138033
B-I-GOLDS-2;Thomas Mann an Franz Goldstein;Kopie des Briefes vom 24.06.1934 aus K�snacht, maschinenschriftlich;24.06.1934;Daten fehlen;2 Bl./2 S.;Deutsch;92774
B-I-GOLDS-3;Thomas Mann an Franz Goldstein;Kopie des Briefes vom 03.01.1936 aus K�snacht, maschinenschriftlich;03.01.1936;Daten fehlen;2 Bl./2 S.;Deutsch;40256
B-I-GOLDT-1;Thomas Mann an Herbert Goldstein;Durchschlag zum Brief vom 12.10.1946, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;12.10.1946;Daten fehlen;1 Bl./1 S.;Deutsch;113442
B-I-GOLDU-1;Thomas Mann an Israel Goldstein;Durchschlag zum Brief vom 19.10.1940, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;19.10.1940;Daten fehlen;1 Bl./1 S.;Englisch;125146
B-I-GOLDU-2;Thomas Mann an Israel Goldstein;Durchschlag zum Brief vom 29.07.1946, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;29.07.1946;Daten fehlen;1 Bl./1 S.;Englisch;42434
B-I-GOLDV-1;Thomas Mann an Ludwig Goldstein;Kopie der Abschrift des Briefes vom 13.10.1933 aus K�snacht, maschinenschriftlich;13.10.1933;Daten fehlen;2 Bl./2 S.;Deutsch;134049
B-I-GOLDV-2;Thomas Mann an Ludwig Goldstein;Negativkopie des Briefes vom 24.12.1935 aus K�snacht, handschriftlich;24.12.1935;Daten fehlen;2 Bl./2 S.;Deutsch;80980
B-I-GOLL-1;Thomas Mann an Claire Goll;Kopie der Briefkarte vom 08.04.1928 aus M�nchen, handschriftlich;08.04.1928;Daten fehlen;2 Bl./2 S.;Deutsch;133623
B-I-GOLL-2;Thomas Mann an Claire Goll;Kopie des Briefes vom 13.04.1931 aus M�nchen, maschinenschriftlich;13.04.1931;Daten fehlen;1 Bl./1 S.;Deutsch;141396
B-I-GOLL-3;Thomas Mann an Claire Goll;Kopie der Postkarte vom 21.09.1931 aus M�nchen, handschriftlich;21.09.1931;Daten fehlen;2 Bl./2 S.;Deutsch;126715
B-I-GOLL-4;Thomas Mann an Claire Goll;Kopie des Briefes vom 29.10.1933 aus K�snacht, handschriftlich;29.10.1933;Daten fehlen;1 Bl./1 S.;Deutsch;38192
B-I-GOLL-5;Thomas Mann an Claire Goll;Kopie des Briefes vom 23.02.1937 aus K�snacht, maschinenschriftlich;23.02.1937;Daten fehlen;1 Bl./1 S.;Deutsch;99963
B-I-GOLL-6;Thomas Mann an Claire Goll;Kopie des Briefes vom 30.05.1950 aus Lugano, handschriftlich;30.05.1950;Daten fehlen;1 Bl./1 S.;Deutsch;115384
B-I-GOLL-7;Thomas Mann an Claire Goll;Kopie des Briefes vom 12.12.1953 aus Erlenbach, handschriftlich;12.12.1953;Daten fehlen;2 Bl./2 S.;Deutsch;137333
B-I-GOLL-8;Thomas Mann an Claire Goll;Kopie des Briefes vom 24.11.1954 aus Kilchberg, maschinenschriftlich;24.11.1954;Daten fehlen;1 Bl./1 S.;Deutsch;113270
B-I-GOLLI-1;Thomas Mann an Ivan Goll;"Kopie des Briefes vom 08.08.1937 aus K�snacht, handschriftlich.
Zus�tzlich vermerkt: auf Briefbogen von 'Mass und Wert'";08.08.1937;Daten fehlen;1 Bl./1 S.;Deutsch;102897
B-I-GOLLN-1;Thomas Mann an Edith Gollan;Durchschlag zum Brief vom 10.04.1944, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;10.04.1944;Daten fehlen;1 Bl./1 S.;Deutsch;99690
B-I-GOLT-1;Thomas Mann an R�diger von der Goltz;Nachweis des Briefes vom 24.11.1925 aus M�nchen;24.11.1925;Daten fehlen;Daten fehlen;Deutsch;43693
B-I-GOOD-1;Thomas Mann an Mrs. [Joseph] E. Goodbar;Durchschlag zum Brief vom 15.10.1940, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;15.10.1940;Daten fehlen;1 Bl./1 S.;Englisch;79080
B-I-GOODB-1;Thomas Mann an Bill Goodhart;Durchschlag zum Brief vom 17.02.1949, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;17.02.1949;Daten fehlen;1 Bl./1 S.;Englisch;122876
B-I-GOOF-1;Thomas Mann an Frank Goodman;Durchschlag zum Brief vom 05.04.1950, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;05.04.1950;Daten fehlen;1 Bl./1 S.;Englisch;129354
B-I-GOOM-1;Thomas Mann an Randolph Goodman;Durchschlag zum Brief vom 16.12.1948, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;16.12.1948;Daten fehlen;1 Bl./1 S.;Englisch;105444
B-I-GOOR-1;Thomas Mann an Roland Goodman, Office of War Information, New York;Durchschlag zum Brief vom 03.08.1945, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;03.08.1945;Daten fehlen;1 Bl./2 S.;Englisch;70307
B-I-GOOR-2;Thomas Mann an Roland Goodman, Office of War Information, New York;Durchschlag zum Brief vom 05.09.1945, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;05.09.1945;Daten fehlen;1 Bl./1 S.;Englisch;49571
B-I-GOOR-3;Thomas Mann an Roland Goodman, Office of War Information, New York;Durchschlag zum Brief vom 03.10.1945, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;03.10.1945;Daten fehlen;1 Bl./1 S.;Englisch;110312
B-I-GORD-1;Thomas Mann an Pater Paulus Gordan;"Brief, Original, aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: vereinzelte handschriftliche Korrekturen.
Briefumschlag";11.02.1946;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;82296
B-I-GORDI-;Thomas Mann an Irma Gordienko;Kopie des Briefes vom 20.11.1949 aus Pacific Palisades, handschriftlich;20.11.1949;Daten fehlen;2 Bl./2 S.;Deutsch;105079
B-I-GORDO-1.1;Thomas Mann an Arthur Gordon;Durchschlag zum Brief vom 02.04.1949 aus Pacific Palisades, maschinenschriftlich;02.04.1949;Daten fehlen;1 Bl./1 S.;Deutsch;82320
B-I-GORDO-1.2;Thomas Mann an Arthur Gordon;Kopie des Briefes vom 02.04.1949 aus Pacific Palisades, maschinenschriftlich;02.04.1949;Daten fehlen;1 Bl./1 S.;Deutsch;24652
B-I-GORDO-2;Thomas Mann an Arthur Gordon;Durchschlag zum Brief vom 10.01.1950, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;10.01.1950;Daten fehlen;1 Bl./1 S.;Deutsch;73136
B-I-GORDOC-1;Thomas Mann an Cyrus H. Gordon;Durchschlag zum Brief vom 19.03.1940, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;19.03.1940;Daten fehlen;1 Bl./1 S.;Englisch;141787
B-I-GORP-1;Thomas Mann an Paul Gordon;"Kopie des Briefes vom 11.02.1941 aus Princeton, maschinenschriftlich.
Kopie des Briefumschlags";11.02.1941;Daten fehlen;1 Bl./2 S.;Englisch;84789
B-I-GORP-2;Thomas Mann an Paul Gordon;Durchschlag zum Brief vom 15.03.1944, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;15.03.1944;Daten fehlen;1 Bl./1 S.;Deutsch;97183
B-I-GORR-1;Thomas Mann an Richard Alan Gordon;Durchschlag zum Brief vom 11.04.1945, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;11.04.1945;Daten fehlen;1 Bl./1 S.;Englisch;98748
B-I-GORS-1.2;Thomas Mann an Ernst Gorsemann;Durchschlag zur Abschrift des Briefes vom 02.01.1954 aus Erlenbach, maschinenschriftlich;01.01.1954;Die Abschrift datiert irrt�mlich auf 02.01.1954;1 Bl./1 S.;Deutsch;83526
B-I-GOTS-1.1;Thomas Mann an Friedrich Karl Gotsch;Kopie der Briefkarte vom 17.09.1952 aus Z�rich, handschriftlich;17.09.1952;Daten fehlen;2 Bl./2 S.;Deutsch;71853
B-I-GOTS-1.2;Thomas Mann an Friedrich Karl Gotsch;Abschrift der Briefkarte vom 17.09.1952 aus Z�rich, maschinenschriftlich;17.09.1952;Daten fehlen;1 Bl./1 S.;Deutsch;79738
B-I-GOTT-1;Thomas Mann an Ernst Gottlieb;Brief, Original, aus M�nchen, handschriftlich;04.11.1919;Daten fehlen;1 Bl./1 S.;Deutsch;132389
B-I-GOTT-2;Thomas Mann an Ernst Gottlieb;Postkarte, Original, aus M�nchen, handschriftlich;30.08.1925;Daten fehlen;1 Karte/2 S.;Deutsch;142089
B-I-GOTT-3;Thomas Mann an Ernst Gottlieb;Ansichtskarte, Original, aus Kampen, handschriftlich;21.08.1928;Daten fehlen;1 Karte/2 S.;Deutsch;79872
B-I-GOTT-4;Thomas Mann an Ernst Gottlieb;Postkarte, Original, aus M�nchen, handschriftlich;15.12.1928;Daten fehlen;1 Karte/2 S.;Deutsch;109761
B-I-GOTT-5;Thomas Mann an Ernst Gottlieb;Brief, Original, aus M�nchen, maschinenschriftlich;19.01.1929;Daten fehlen;1 Bl./2 S.;Deutsch;119534
B-I-GOTT-6;Thomas Mann an Ernst Gottlieb;Kopie des Briefes vom 21.06.1929 aus M�nchen, handschriftlich;21.06.1929;Daten fehlen;1 Bl./1 S.;Deutsch;75186
B-I-GOTT-7;Thomas Mann an Ernst Gottlieb;Briefkarte, Original, aus M�nchen, handschriftlich;28.09.1929;Daten fehlen;1 Karte/2 S.;Deutsch;41466
B-I-GOTT-8;Thomas Mann an Ernst Gottlieb;Kopie des Briefes vom 03.01.1936 aus K�snacht, maschinenschriftlich;03.01.1936;Daten fehlen;1 Bl./1 S.;Deutsch;123403
B-I-GOTT-9;Sekretariat Thomas Mann an Ernst Gottlieb;"Brief, Original, aus Princeton, N. J., maschinenschriftlich. 
Zus�tzlich vermerkt: im Auftrag Thomas Manns von Hans Meisel verfasst und unterschrieben";15.01.1940;Daten fehlen;1 Bl./1 S.;Deutsch;99751
B-I-GOTT-10;Thomas Mann an Ernst Gottlieb;Brief, Original, aus Los Angeles - Brentwood, handschriftlich;28.08.1940;Daten fehlen;1 Bl./2 S.;Deutsch;135617
B-I-GOTT-11;Thomas Mann an Ernst Gottlieb;"Brief, Original, aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: Bleistift-Notizen auf der R�ckseite";16.03.1942;Daten fehlen;1 Bl./2 S.;Deutsch;56537
B-I-GOTT-12;Thomas Mann an Ernst Gottlieb;Brief, Original, aus Pacific Palisades, maschinenschriftlich;07.06.1942;Daten fehlen;1 Bl./1 S.;Deutsch;77209
B-I-GOTT-13;Thomas Mann an Ernst Gottlieb;Auktionskatalogsauszug zum Brief vom 20.09.1942 aus Pacific Palisades, gedruckt (fragmentarisch);20.09.1942;Daten fehlen;1 Bl./1 S.;Deutsch;58882
B-I-GOTT-14;Thomas Mann an Ernst Gottlieb;Auktionskatalogsauszug zum Brief vom 29.09.1942 aus Pacific Palisades, gedruckt (fragmentarisch);29.09.1942;Daten fehlen;1 Bl./1 S.;Deutsch;53500
B-I-GOTT-15;Thomas Mann an Ernst Gottlieb;"Brief, Original, aus Pacific Palisades, maschinenschriftlich.
Beilage: 1 Fotoabzug";02.11.1942;Daten fehlen;1 Bl./1 S. + 1 Fotoabzug;Deutsch;100286
B-I-GOTT-16;Thomas Mann an Ernst Gottlieb;Brief, Original, aus Pacific Palisades, handschriftlich;07.06.1946;Daten fehlen;1 Bl./1 S.;Deutsch;51918
B-I-GOTT-17;Thomas Mann an Ernst Gottlieb;Brief, Original, aus Flims, maschinenschriftlich;25.06.1947;Daten fehlen;1 Bl./2 S.;Deutsch;123609
B-I-GOTT-18;Thomas Mann an Ernst Gottlieb;Brief, Original, aus Flims, handschriftlich;27.06.1947;Daten fehlen;1 Bl./2 S.;Deutsch;142826
B-I-GOTT-19;Thomas Mann an Ernst Gottlieb;Kopie des Briefes vom 28.11.1949 aus Pacific Palisades, handschriftlich;28.11.1949;Daten fehlen;1 Bl./1 S.;Deutsch;49622
B-I-GOTTK-1;Thomas Mann an Kathryn Gottlieb;Durchschlag zum Brief vom 01.12.1938, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;01.12.1938;Daten fehlen;1 Bl./1 S.;Englisch;105484
B-I-GOUL-1;Thomas Mann an Mrs. James Gould;Durchschlag zum Brief vom 15.12.1938, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;15.12.1938;Daten fehlen;1 Bl./1 S.;Englisch;99213
B-I-GOULD-1;Thomas Mann an Mrs. Lawrence A. Gould;Durchschlag zum Brief vom 11.12.1940, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;11.12.1940;Daten fehlen;1 Bl./1 S.;Englisch;70343
B-I-GRAC-1;Thomas Mann an die Grace Evangelical Lutheran Church, Mobile, Alabama;Durchschlag zum Brief vom 10.04.1946, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;10.04.1946;Daten fehlen;3 Bl./3 S.;Englisch;41988
B-I-GRAE-1;Thomas Mann an [Hans Arnold] Graebke;Durchschlag zum Brief vom 18.12.1948, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;18.12.1948;Daten fehlen;1 Bl./1 S.;Deutsch;134678
B-I-GRAF-1;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 01.11.1938 aus Princeton, maschinenschriftlich;01.11.1938;Daten fehlen;2 Bl./2 S.;Deutsch;82396
B-I-GRAF-2;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 06.11.1938 aus Princeton, maschinenschriftlich;06.11.1938;Daten fehlen;1 Bl./1 S.;Deutsch;122505
B-I-GRAF-3;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 22.11.1938 aus Princeton, handschriftlich;22.11.1938;Daten fehlen;1 Bl./1 S.;Deutsch;55234
B-I-GRAF-4;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 01.09.1940 aus Brentwood - Los Angeles, maschinenschriftlich;01.09.1940;Daten fehlen;1 Bl./1 S.;Deutsch;123709
B-I-GRAF-5;Thomas Mann an Oskar Maria Graf;Kopie der Briefkarte vom 12.05.1941 aus Pacific Palisades, handschriftlich;12.05.1941;Daten fehlen;2 Bl./2 S.;Deutsch;103690
B-I-GRAF-6;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 01.10.1941 aus Pacific Palisades, handschriftlich;01.10.1941;Daten fehlen;4 Bl./4 S.;Deutsch;48822
B-I-GRAF-7;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 29.04.1942 aus Pacific Palisades, maschinenschriftlich;29.04.1942;Daten fehlen;1 Bl./1 S.;Deutsch;39021
B-I-GRAF-8;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 11.05.1942 aus Pacific Palisades, handschriftlich;11.05.1942;Daten fehlen;2 Bl./2 S.;Deutsch;58145
B-I-GRAF-9;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 20.09.1943 aus Pacific Palisades, maschinenschriftlich;20.09.1943;Daten fehlen;2 Bl./2 S.;Deutsch;127120
B-I-GRAF-10.1;Thomas Mann an Oskar Maria Graf;Durchschlag zum Brief vom 19.07.1945 aus Pacific Palisades, maschinenschriftlich;19.07.1945;Daten fehlen;1 Bl./1 S.;Deutsch;69476
B-I-GRAF-10.2;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 19.07.1945 aus Pacific Palisades, maschinenschriftlich;19.07.1945;Daten fehlen;1 Bl./1 S.;Deutsch;114677
B-I-GRAF-11;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 17.08.1946 aus Pacific Palisades, handschriftlich;17.08.1946;Daten fehlen;2 Bl./2 S.;Deutsch;97781
B-I-GRAF-12.1;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 22.02.1948 aus Pacific Palisades, handschriftlich;22.02.1948;Daten fehlen;2 Bl./2 S.;Deutsch;66343
B-I-GRAF-12.2;Thomas Mann an Oskar Maria Graf;Durchschlag zur Abrschrift des Briefes vom 22.02.1948 aus Pacific Palisades, maschinenschriftlich;22.02.1948;Daten fehlen;1 Bl./1 S.;Deutsch;40813
B-I-GRAF-13;Thomas Mann an Oskar Maria Graf;Kopie der Postkarte vom 19.06.1948 aus Pacific Palisades, handschriftlich;19.06.1948;Daten fehlen;1 Bl./1 S.;Deutsch;53526
B-I-GRAF-14;Thomas Mann an Oskar Maria Graf;Kopie des Briefes vom 08.03.1949 aus Pacific Palisades, handschriftlich;08.03.1949;Daten fehlen;2 Bl./2 S.;Deutsch;118397
B-I-GRAF-15;Thomas Mann an Oskar Maria Graf;Kopie der Ansichtskarte vom 04.06.1950 aus Z�rich, handschriftlich;04.06.1950;Daten fehlen;1 Bl./1 S.;Deutsch;48925
B-I-GRAF-16;Thomas Mann an Oskar Maria Graf;Kopie der Ansichtskarte vom 28.01.1951, ohne Ort, gem�ss Regest aus Pacific Palisades, handschriftlich;28.01.1951;Daten fehlen;1 Bl./1 S.;Deutsch;73361
B-I-GRAN-1;Thomas Mann an Hans Grandi;Negativkopie des Briefes vom 24.10.1953 aus Erlenbach, handschriftlich;24.10.1953;Daten fehlen;1 Bl./1 S.;Deutsch;83264
B-I-GRAN-2.1;Thomas Mann an Hans Grandi;"Kopie des Briefes vom 14.12.1953 aus Erlenbach, maschinenschriftlich.
Kopie der handschriftlichen Beilage und Kopie des Briefumschlags";14.12.1953;Daten fehlen;2 Bl./2 S. + 1 Bl./2 S.;Deutsch;117166
B-I-GRAN-2.2;Thomas Mann an Hans Grandi;Abschrift des Briefes vom 14.12.1953 aus Erlenbach, maschinenschriftlich;14.12.1953;Daten fehlen;1 Bl./2 S.;Deutsch;40034
B-I-GRANE-1;Thomas Mann an Eva H. Grant, 'National Parent-Teacher', Chicago;Durchschlag zum Brief vom 07.07.1941, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;07.07.1941;Daten fehlen;1 Bl./1 S.;Englisch;36086
B-I-GRANF-1;Thomas Mann an Frances R. Grant;Durchschlag zum Brief vom 22.02.1945, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;22.02.1945;Daten fehlen;1 Bl./1 S.;Englisch;57119
B-I-GRANL-1;Thomas Mann an Louis M. Grant;Durchschlag zum Brief vom 14.10.1949, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;14.10.1949;Daten fehlen;1 Bl./1 S.;Englisch;136826
B-I-GRAT-1;Thomas Mann an Emil Gratzl;Kopie des Briefes vom 20.01.1928 aus M�nchen, handschriftlich;20.01.1928;Daten fehlen;1 Bl./2 S.;Deutsch;104445
B-I-GRAT-2;Thomas Mann an Emil Gratzl;Kopie der Briefkarte vom 24.01.1928 aus M�nchen, handschriftlich;24.01.1928;Daten fehlen;1 Bl./2 S.;Deutsch;78537
B-I-GRAT-3;Thomas Mann an Emil Gratzl;Kopie des Briefes vom 06.09.1928 aus M�nchen, maschinenschriftlich;06.09.1928;Daten fehlen;1 Bl./1 S.;Deutsch;120019
B-I-GRAT-4;Thomas Mann an Emil Gratzl;Kopie des Briefes vom 25.12.1928 aus M�nchen, handschriftlich;25.12.1928;Daten fehlen;1 Bl./1 S.;Deutsch;107331
B-I-GRAT-5;Thomas Mann an Emil Gratzl;Kopie der Briefkarte vom 17.02.1929 aus M�nchen, handschriftlich;17.02.1929;Daten fehlen;1 Bl./1 S.;Deutsch;23673
B-I-GRAU-1;Thomas Mann an Otto Grautoff;"Kopie des Briefes ohne Datum und ohne Ort, vom September 1894 aus M�nchen (gem�ss Regest, Datums- und Ortsangaben wurden recherchiert), handschriftlich.
Zus�tzlich vermerkt: Brief unvollst�ndig, untere H�lfte der letzten �berlieferten Briefseite abgerissen";9.1894;Daten fehlen;6 Bl./8 S.;Deutsch;47240
B-I-GRAU-2;Thomas Mann an Otto Grautoff;"Kopie des Briefes vom 22.09.1894 aus M�nchen, handschriftlich (fragmentarisch).
Zus�tzlich vermerkt: unvollst�ndig, Briefanfang nicht �berliefert";22.09.1894;Daten fehlen;2 Bl./2 S.;Deutsch;138051
B-I-GRAU-3;Thomas Mann an Otto Grautoff;Kopie des Briefes vom 27.09.1894 aus M�nchen, handschriftlich;27.09.1894;Daten fehlen;9 Bl./12 S.;Deutsch;63870
B-I-GRAU-4.1;Thomas Mann an Otto Grautoff;Kopie des Briefes vom 13./14.11.1894 aus M�nchen, handschriftlich;13.11.1894 - 14.11.1894;Daten fehlen;11 Bl./15 S.;Deutsch;86401
B-I-GRAU-4.2;Thomas Mann an Otto Grautoff;Abschrift des Briefes vom 13./14.11.1894 aus M�nchen, maschinenschriftlich;13.11.1894 - 14.11.1894;Daten fehlen;6 Bl./6 S.;Deutsch;67416
B-I-GRAU-5;Thomas Mann an Otto Grautoff;Kopie des Briefes vom 06.12.1894 aus M�nchen, handschriftlich;06.12.1894;Daten fehlen;2 Bl./3 S.;Deutsch;82896
B-I-GRAU-6;Thomas Mann an Otto Grautoff;Kopie der Postkarte ohne Datum, mit Poststempel vom 30.12.1894 aus M�nchen, handschriftlich;30.12.1894;gem�ss Poststempel;2 Bl./2 S.;Deutsch;41067
B-I-GRAU-7;Thomas Mann an Otto Grautoff;Kopie des Briefes ohne Datum und ohne Ort, gem�ss Regest vom 08.01.1895 aus M�nchen, handschriftlich;08.01.1895;Daten fehlen;4 Bl./5 S.;Deutsch;49790
B-I-GRAU-8;Thomas Mann an Otto Grautoff;Kopie des Briefes vom 20.01.1895 aus M�nchen, handschriftlich;20.01.1895;Daten fehlen;3 Bl./4 S.;Deutsch;130416
B-I-GRAU-9.1;Thomas Mann an Otto Grautoff;Kopie des Briefes vom 05.03.1895 aus M�nchen, handschriftlich;05.03.1895;Daten fehlen;8 Bl./10 S.;Deutsch;93706
B-I-GRAU-9.2;Thomas Mann an Otto Grautoff;Abschrift des Briefes vom 05.03.1895 aus M�nchen, maschinenschriftlich;05.03.1895;Daten fehlen;3 Bl./3 S.;Deutsch;130442
B-I-GRAU-10;Thomas Mann an Otto Grautoff;Kopie des Briefes ohne Datum und ohne Ort, gem�ss Regest vom 03.04.1895 aus M�nchen, handschriftlich;03.04.1895;ohne Datum - gem�ss Regest Datum nachtr�glich von fremder Hand hinzugef�gt: 3.4.;3 Bl./4 S.;Deutsch;90953
B-I-GRAU-11;Thomas Mann an Otto Grautoff;"Kopie des Briefes vom 12.04.1895 aus M�nchen, handschriftlich.
Zus�tzlich vermerkt: Brief unvollst�ndig, Schluss nicht �berliefert";12.04.1895;Daten fehlen;6 Bl./8 S.;Deutsch;117516
B-I-GRAU-12;Thomas Mann an Otto Grautoff;"Kopie der Postkarte ohne Datum, mit Poststempel vom 15.05.1895, aus M�nchen, handschriftlich.
Zus�tzlich vermerkt: sehr schlechte, kaum lesbare Kopie";15.05.1895;gem�ss Poststempel;2 Bl./2 S.;Deutsch;63411
B-I-GRAU-13;Thomas Mann an Otto Grautoff;"Kopie des Briefes vom 16.05.1895, fortgesetzt am 17.05.1895, aus M�nchen, handschriftlich.
Zus�tzlich vermerkt: Brief unvollst�ndig, Schluss nicht �berliefert";16.05.1895 - 17.05.1895;begonnen am 16.05.1895, fortgesetzt am 17.05.1895;6 Bl./8 S.;Deutsch;62899
B-I-GRAU-14;Thomas Mann an Otto Grautoff;"Kopie der Abschrift des fragmentarischen Briefes ohne Datum und ohne Ort, vermutlich Ende Mai 1895 aus M�nchen (gem�ss Regest, Datums- und Ortsangaben wurden recherchiert), maschinenschriftlich.
Zus�tzlich vermerkt: unvollst�ndig, Briefanfang nicht �berliefert";ca. 30.05.1895;fragmentarisch ohne Datum, vermutlich Ende Mai - gem�ss Regest, Datumsangabe wurde recherchiert;2 Bl./2 S.;Deutsch;37056
